name,longitude,latitude
Gogoro 電池交換站,120.171494,22.9959392
Gogoro 電池交換站,120.1882465,23.0388165
Unnamed,120.9258412,23.9729786
Gogoro 電池交換站,120.2313326,22.9875975
Unnamed,121.240664,25.081652
Tesla Supercharger,120.9707782,24.8195148
Unnamed,120.5431616,24.2667136
Unnamed,120.5342795,24.2695488
Unnamed,120.5404191,24.2660278
Unnamed,120.5361882,24.2693792
Unnamed,120.53793,24.2676123
Gogoro 電池交換站,121.3161751,25.007321
iONEX電池交換站,120.294183,22.6234395
Gogoro 電池交換站,121.3223102,24.9957029
便利換電站,120.4487279,23.47688
Gogoro 電池交換站,121.3198435,25.0097973
Unnamed,121.6117678,23.9778468
Gogoro,120.1895221,23.2442729
Gogoro 電池交換站,121.3164868,25.0162591
Gogoro 電池交換站,121.5629831,24.9900077
Gogoro 電池交換站,120.2202187,22.9841923
Gogoro 電池交換站,120.2088941,22.9824681
Gogoro 電池交換站,120.2189719,23.0072657
Unnamed,120.2191796,23.0075321
Gogoro 電池交換站,120.2087793,22.999036
Gogoro 電池交換站,120.5209775,23.4422173
Gogoro換電站,121.5182913,25.0263089
Gogoro 電池交換站,120.1921588,22.99312
Gogoro 電池交換站,121.5589232,25.0377852
Gogoro 電池交換站,121.566582,25.0442643
Gogoro 電池交換站,121.546046,25.0490232
Unnamed,120.6969844,22.0462156
Unnamed,121.8448101,24.5688698
Unnamed,120.2694972,22.6241255
iONEX電池交換站,120.4368493,23.4582543
Gogoro 電池交換站,120.254225,23.0247462
U-POWER 汐止大同站,121.6831533,25.0742641
Unnamed,120.3150887,22.6638605
Unnamed,120.3131079,22.6627616
Gogoro 電池交換站,120.2339705,22.9910541
Gogoro換電站,121.5085753,25.0307918
Gogoro換電站,121.5207725,25.0153507
Unnamed,121.5362183,24.4957314
Gogoro 電池交換站,121.2981549,24.9950759
Gogoro 電池交換站,121.2578293,25.0208225
Gogoro 電池交換站,120.538112,24.0809864
Gogoro 電池交換站,120.1946775,23.0800414
