access,addr:city,addr:country,addr:district,addr:floor,addr:full,addr:housenumber,addr:place,addr:postcode,addr:province,addr:street,amenity,bicycle,branch,brand,brand:en,brand:wikidata,brand:wikipedia,capacity,capacity:motorcar,charging,charging_station:battery_swapping,construction,covered,description,fee,fuel:octane_92,fuel:octane_95,fuel:octane_98,layer,level,mobile_phones,moped,motorcar,motorcycle,name,name:en,name:ja,name:zh,netbook,network,note,opening_hours,operator,operator:wikidata,operator:wikipedia,parking:fee,payment:app,phone,postal_code,ref,scooter,short_name,socket,socket:j1772,socket:tesla_supercharger,socket:tesla_supercharger:output,socket:type1,socket:type1:output,socket:type2_combo,socket:type2_combo:output,truck,voltage,website,wheelchair,longitude,latitude
,,,,,,,,,,,charging_station,,,Gogoro 電池交換站,,Q19880591,,24,,,,,,新北市新莊區富國路176巷 新莊福營休閒廣場內,,,,,,,,,,,Gogoro 電池交換站 新莊福營休閒廣場站,Gogoro GoStation,,Gogoro 電池交換站 新莊福營休閒廣場站,,,,,Gogoro 電池交換站,Q19880591,,,,,,,,,,,,,,,,,,,,,121.4241777,25.0238655
,台中市,TW,太平區,,,117,新高里,411,,樹德路,charging_station,,,,,,,20,,,,,,,,,,,,,,,,,Gogoro 全聯台中太平店站,,,Gogoro 全聯台中太平店站,,,,,Gogoro,,,,,,,,,,,,,,,,,,,,https://www.gogoro.com/tw/,,120.7118802,24.1540575
,台中市,TW,太平區,,,567,新坪里,411,,環中東路三段,charging_station,,,,,,,20,,,,,,,,,,,,,,,,,Gogoro 家樂福便利購太平環中店站,,,Gogoro 家樂福便利購太平環中店站,,,,,Gogoro,,,,,,,,,,,,,,,,,,,,https://www.gogoro.com/tw/,,120.7153305,24.1493462
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gogoro,,,,,,,,,,,,,,,,,,,,,,120.6856356,24.1410741
,臺中市,TW,潭子區,,,5,,427013,,環中東路一段,charging_station,,7-ELEVEN 潭厝店站,Gogoro 電池交換站,,Q19880591,,,,,,,,,,,,,,,,,,,Gogoro 電池交換站,,,,,,,,Gogoro 電池交換站,Q19880591,,,,,,,,,,,,,,,,,,,,,120.7037912,24.2014059
,臺中市,TW,神岡區,,,1,,,,五權路,charging_station,,全聯豐原三豐店站,,,,,,,,,,,,,,,,,,,,,,Gogoro 電池交換站,,,,,,,,睿能創意股份有限公司,,,,,,,,,,,,,,,,,,,,,,120.7129583,24.2586298
,南投縣,TW,國姓鄉,,544南投縣國姓鄉中正路一段100-1號,100-1,,544,台灣省,中正路一段,charging_station,,HiLife 南投國姓店站,Gogoro 電池交換站,,Q19880591,,,,,,,,,,,,,,,,,,,Gogoro 電池交換站,,,,,,,,Gogoro 電池交換站,Q19880591,,,,,,,,,,,,,,,,,,,,,120.8258506,24.0235225
,臺中市,TW,豐原區,,,118,,,,豐南街,charging_station,,家樂褔便利購豐南店站,,,,,,,,,,,,,,,,,,,,,,Gogoro 電池交換站,,,,,,,,睿能創意股份有限公司,,,,,,,,,,,,,,,,,,,,,,120.7146228,24.2391332
,臺中市,TW,豐原區,,,182,,,,田心路二段,charging_station,,全聯豐原田心店站,,,,,,,,,,,,,,,,,,,,,,Gogoro 電池交換站,,,,,,,,睿能創意股份有限公司,,,,,,,,,,,,,,,,,,,,,,120.7210392,24.2396014
,臺中市,TW,豐原區,,,198,,42053,,成功路,charging_station,,全聯豐原成功店站,Gogoro 電池交換站,,Q19880591,,,,,,,,,,,,,,,,,,,Gogoro 電池交換站,,,,,,,,Gogoro 電池交換站,Q19880591,,,,,,,,,,,,,,,,,,,,,120.708778,24.2458344
